,Unnamed: 0,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ADFS
0,0,Steven Adams,C,26,OKC,30,30,27.7,5.0,8.1,0.617,0.0,0.0,0.0,5.0,8.1,0.62,0.617,1.6,3.1,0.511,3.4,6.3,12.125,4.050000000000001,1.2,2.4,-0.75,2.0,11.6,30.625
1,1,Bam Adebayo,C,22,MIA,33,33,34.4,5.8,10.3,0.563,0.0,0.3,0.111,5.8,10.1,0.575,0.565,3.9,5.7,0.6859999999999999,2.6,8.1,13.25,6.8999999999999995,2.8,2.4,-1.45,2.7,15.6,39.49999999999999
2,2,LaMarcus Aldridge,C,34,SAS,30,30,33.0,7.9,15.3,0.513,0.4,2.0,0.4,7.1,13.3,0.53,0.539,2.9,3.4,0.835,2.1,5.5,9.625,3.75,1.2,3.8,-0.7,2.2,19.4,37.474999999999994
3,3,Nickeil Alexander-Walker,SG,21,NOP,27,0,12.6,2.0,6.0,0.34,0.55,3.1,0.341,1.0,2.9,0.33799999999999997,0.429,0.4,0.6,0.688,0.1,1.9,2.5,2.55,0.6,0.2,-0.5,1.1,5.6,11.499999999999998
4,4,Grayson Allen,SG,24,MEM,19,0,18.3,3.0,6.9,0.435,0.75,3.7,0.39399999999999996,1.5,3.2,0.483,0.542,1.1,1.2,0.87,0.2,2.4,3.125,2.25,0.6,0.2,-0.5,1.4,8.5,14.924999999999999
5,5,Jarrett Allen,C,21,BRK,32,29,26.5,4.6,7.1,0.655,0.0,0.1,0.0,4.6,7.0,0.6609999999999999,0.655,2.7,4.3,0.635,3.5,6.7,12.75,1.9500000000000002,1.4,2.8,-0.65,2.5,12.0,30.25
6,6,Kadeem Allen,SG,27,NYK,2,0,9.0,1.5,3.5,0.429,0.75,2.5,0.6,0.0,1.0,0.0,0.643,0.0,0.0,,0.0,0.0,0.0,1.5,1.0,0.0,-0.5,1.0,4.5,7.25
7,7,Al-Farouq Aminu,PF,29,ORL,18,2,21.1,1.4,4.8,0.29100000000000004,0.25,2.0,0.25,0.9,2.8,0.32,0.34299999999999997,1.1,1.6,0.655,1.3,3.5,6.0,1.7999999999999998,2.0,0.8,-0.45,1.5,4.3,14.700000000000003
8,8,Kyle Anderson,PF,26,MEM,28,2,18.3,2.2,4.8,0.466,0.1,0.9,0.20800000000000002,2.0,3.9,0.523,0.485,0.8,1.3,0.622,1.1,3.3,5.5,3.5999999999999996,1.2,1.0,-0.45,1.5,5.4,16.349999999999998
9,9,Ryan Anderson,PF,31,HOU,2,0,7.0,1.0,3.5,0.28600000000000003,0.25,2.5,0.2,0.5,1.0,0.5,0.35700000000000004,0.0,0.0,,0.0,3.5,4.375,1.5,1.0,0.0,-0.25,0.5,2.5,9.375
10,10,Giannis Antetokounmpo,PF,25,MIL,33,33,31.0,11.3,20.3,0.556,0.85,5.1,0.331,9.6,15.2,0.631,0.598,6.1,10.1,0.599,2.6,10.4,16.25,8.399999999999999,2.4,2.4,-1.8,3.2,30.4,58.9
11,11,Kostas Antetokounmpo,PF,22,LAL,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.625,0.0,0.0,0.0,-0.0,0.0,0.0,0.625
12,12,Thanasis Antetokounmpo,SF,27,MIL,9,0,4.7,1.0,1.8,0.563,0.0,0.2,0.0,1.0,1.6,0.643,0.563,0.4,0.9,0.5,0.6,0.1,0.875,1.0499999999999998,0.2,0.2,-0.15,0.7,2.4,4.574999999999999
13,13,Carmelo Anthony,PF,35,POR,20,20,31.5,6.2,14.6,0.42100000000000004,0.8,3.9,0.40299999999999997,4.6,10.8,0.428,0.474,2.4,2.9,0.81,1.2,5.1,7.75,1.7999999999999998,2.2,1.6,-0.95,3.2,16.2,29.400000000000002
14,14,OG Anunoby,SF,22,TOR,33,32,29.6,4.4,8.8,0.49700000000000005,0.65,3.8,0.35200000000000004,3.1,5.1,0.605,0.5720000000000001,0.9,1.5,0.625,1.0,4.7,7.25,2.4000000000000004,2.2,1.6,-0.65,2.5,11.0,24.45
15,15,Ryan Arcidiacono,PG,25,CHI,34,0,15.0,1.3,3.4,0.385,0.4,2.0,0.406,0.5,1.4,0.354,0.504,0.5,0.7,0.75,0.4,1.3,2.125,2.25,0.8,0.2,-0.25,1.6,4.0,9.525
16,16,Trevor Ariza,SF,34,SAC,25,0,23.6,1.8,4.9,0.366,0.6,3.6,0.341,0.6,1.3,0.43799999999999994,0.49200000000000005,0.5,0.6,0.8,0.7,3.6,5.5,2.0999999999999996,2.0,0.4,-0.45,1.8,5.3,15.45
17,17,D.J. Augustin,PG,32,ORL,34,6,26.0,3.4,8.4,0.401,0.6,3.5,0.33899999999999997,2.2,5.0,0.444,0.47,2.7,3.0,0.903,0.4,2.0,3.0,7.199999999999999,1.4,0.0,-0.65,1.1,10.7,22.25
18,18,Deandre Ayton,C,21,PHO,4,2,27.3,7.0,13.8,0.509,0.0,0.3,0.0,7.0,13.5,0.519,0.509,0.5,0.8,0.667,4.5,7.8,15.375,1.9500000000000002,1.0,3.0,-0.75,3.0,14.5,35.075
19,19,Dwayne Bacon,SG,24,CHO,26,10,16.5,2.1,6.5,0.318,0.25,1.9,0.245,1.6,4.7,0.34700000000000003,0.353,1.0,1.4,0.6759999999999999,0.4,1.9,2.875,1.7999999999999998,1.4,0.2,-0.45,1.3,5.6,11.674999999999999
20,20,Marvin Bagley,PF,20,SAC,9,3,23.6,5.6,12.1,0.45899999999999996,0.15,1.6,0.214,5.2,10.6,0.495,0.47200000000000003,2.2,2.8,0.8,2.0,4.9,8.625,1.0499999999999998,0.8,1.8,-0.7,2.9,13.7,25.425000000000004
