GID,ESPN ID,Pos,Name,Team,Salary,Salary Change,Points,GP,Pts/Game,Pts/G/$,Pts/G(alt),Last pts,Days ago,Schedule starting Wed 1/1
5815,0,34,"Paschall, Eric",GSW,3400,0,711,30,23.7,7,23.7,7,1,.2.4.6.8.0.2.4.6.8.0.2.4...8
4728,3056600,34,"Parker, Jabari",Atl,4200,0,895.3,31,28.9,6.9,28.9,0,2,..34.6.8.0.2.4..78.0.2.4.6.8
4744,2581177,23,"Hood, Rodney",Por,3000,0,418,21,19.9,6.6,19.9,0,2,1.3.5.7.9.1.3.5.78.0..3..6..
4904,0,34,"Saric, Dario",Pho,4000,-400,835.8,33,25.3,6.3,25.3,4,2,1.3.5.7..0.2.4.6.8.0.2.4.6.8
4778,0,45,"Kaminsky, Frank",Pho,3600,-100,708.5,32,22.1,6.2,22.1,0,2,1.3.5.7..0.2.4.6.8.0.2.4.6.8
4857,0,45,"Harrell, Montrezl",LAC,5500,0,1141,34,33.6,6.1,33.6,17,1,.2.45....0.2.4.6.8..12.4.6.8
4224,3992,12,"Harden, James",Hou,10500,0,2069.8,33,62.7,6,62.7,54.8,1,..3....89.1..45..8.0.2.4.67.
4976,0,12,"Payton, Gary",Was,5500,-700,130.8,4,32.7,5.9,32.7,19.2,2,1.34.6.8.0.2..5.7..0.23..6.8
5217,0,45,"Bryant, Thomas",Was,5300,-200,566.8,18,31.5,5.9,31.5,0,2,1.34.6.8.0.2..5.7..0.23..6.8
3816,2799,12,"Williams, Louis",LAC,5700,0,1064,32,33.2,5.8,33.2,0,1,.2.45....0.2.4.6.8..12.4.6.8
4266,4238,1,"Bledsoe, Eric",Mil,5500,-200,856.3,27,31.7,5.8,31.7,30.2,2,1..4.6.8.01..4.6.8.0...4...8
4364,6460,23,"Moore, E'Twaun",Nor,3100,0,394.3,22,17.9,5.8,17.9,39.2,3,..34.6.8.01.3..6.8.0.2.4.6.8
4704,3059319,23,"Wiggins, Andrew",Min,6900,-400,1039,26,40,5.8,40,0,2,12..5.7.9.1.3.5.78.0.2.45.7.
