,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
0,Steven Adams,C,26,OKC,30,831,21.6,.612,.004,.379,14.0,24.4,19.4,15.4,1.1,3.6,14.0,17.5,,2.2,1.2,3.4,.196,,1.6,3.2,4.8,1.4
1,Bam Adebayo,C,22,MIA,33,1134,20.2,.607,.026,.551,8.9,25.0,17.4,21.0,2.0,3.5,18.3,19.9,,2.3,2.0,4.3,.180,,0.7,4.2,4.9,1.9
2,LaMarcus Aldridge,C,34,SAS,30,991,21.5,.576,.130,.224,6.9,17.6,12.3,11.6,0.9,4.9,7.8,23.7,,2.1,0.9,3.0,.146,,1.1,0.9,2.0,1.0
3,Nickeil Alexander-Walker,SG,21,NOP,27,341,8.3,.444,.525,.099,1.2,16.2,8.5,19.6,1.2,1.0,13.3,23.6,,-0.5,0.2,-0.3,-0.041,,-3.9,-2.2,-6.1,-0.4
4,Grayson Allen,SG,24,MEM,19,347,11.6,.574,.542,.176,0.9,13.9,7.4,11.8,0.7,0.2,11.9,19.2,,0.3,0.1,0.3,.044,,-0.7,-3.2,-3.8,-0.2
5,Jarrett Allen,C,21,BRK,32,849,22.2,.669,.009,.606,13.9,24.8,19.5,7.6,1.3,4.2,12.3,15.9,,2.6,1.5,4.1,.232,,0.8,2.9,3.8,1.2
6,Kadeem Allen,SG,27,NYK,2,18,11.8,.643,.714,.000,0.0,0.0,0.0,17.7,2.7,0.0,22.2,21.2,,0.0,0.0,0.0,.037,,-1.1,-6.9,-7.9,0.0
7,Al-Farouq Aminu,PF,29,ORL,18,380,7.9,.395,.419,.337,6.5,18.2,12.1,7.6,2.3,1.9,14.7,13.2,,-0.4,0.6,0.2,.020,,-4.7,2.2,-2.5,-0.1
8,Kyle Anderson,PF,26,MEM,28,511,13.1,.509,.180,.278,6.4,19.1,12.7,17.4,1.6,2.4,14.8,14.3,,0.4,0.4,0.8,.073,,-1.9,1.3,-0.6,0.2
9,Ryan Anderson,PF,31,HOU,2,14,9.9,.357,.714,.000,0.0,51.6,25.9,19.9,3.3,0.0,12.5,23.4,,0.0,0.0,0.0,-0.021,,-6.8,1.7,-5.2,0.0
10,Giannis Antetokounmpo,PF,25,MIL,33,1022,33.6,.612,.252,.498,8.8,31.2,20.6,33.2,1.8,3.3,12.7,37.8,,3.9,2.7,6.6,.308,,7.9,4.8,12.7,3.8
11,Kostas Antetokounmpo,PF,22,LAL,2,3,3.9,,,,0.0,36.1,18.4,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.069,,-9.4,-1.3,-10.7,0.0
12,Thanasis Antetokounmpo,SF,27,MIL,9,42,17.8,.564,.125,.500,12.4,2.2,7.0,20.4,1.1,2.1,13.3,22.1,,0.1,0.1,0.2,.174,,0.7,-1.2,-0.4,0.0
13,Carmelo Anthony,PF,35,POR,20,629,13.1,.510,.264,.199,3.8,16.2,10.1,5.5,1.6,2.0,10.7,23.8,,-0.1,0.5,0.4,.028,,-2.7,-1.4,-4.0,-0.3
14,OG Anunoby,SF,22,TOR,33,978,13.0,.581,.428,.164,3.7,16.0,10.1,8.2,1.8,2.5,12.3,15.6,,0.8,1.6,2.4,.116,,-0.4,2.3,1.9,1.0
15,Ryan Arcidiacono,PG,25,CHI,34,511,8.7,.533,.590,.205,2.8,9.4,6.0,14.4,1.3,0.4,12.4,12.0,,0.4,0.5,0.9,.085,,-2.1,-0.5,-2.6,-0.1
16,Trevor Ariza,SF,34,SAC,25,590,8.7,.513,.740,.122,3.4,18.1,10.5,8.1,2.0,1.0,14.5,11.3,,0.1,0.6,0.6,.053,,-1.8,0.9,-0.9,0.2
17,D.J. Augustin,PG,32,ORL,34,884,15.1,.546,.411,.359,1.6,8.6,5.0,27.5,1.4,0.1,11.7,18.4,,1.5,0.7,2.2,.118,,0.6,-2.1,-1.5,0.1
18,Deandre Ayton,C,21,PHO,4,109,20.0,.515,.018,.055,17.6,32.3,24.7,7.6,0.9,4.8,9.6,24.1,,0.1,0.1,0.2,.099,,-3.0,0.3,-2.7,0.0
19,Dwayne Bacon,SG,24,CHO,26,428,5.4,.389,.288,.218,2.4,13.0,7.5,10.7,2.1,0.4,11.0,21.2,,-1.0,0.2,-0.7,-0.081,,-6.7,-1.9,-8.6,-0.7
20,Marvin Bagley,PF,20,SAC,9,212,16.8,.513,.128,.229,9.4,24.4,16.7,4.9,0.9,3.6,9.8,27.5,,0.0,0.2,0.3,.058,,-4.3,-2.1,-6.4,-0.2
21,Lonzo Ball,PG,22,NOP,26,737,12.1,.491,.577,.109,4.2,15.2,9.5,26.2,2.0,0.7,19.1,19.9,,-0.1,0.5,0.4,.024,,-0.6,-0.2,-0.9,0.2
22,Mo Bamba,C,21,ORL,30,464,15.1,.523,.384,.107,9.5,26.0,17.4,6.7,0.9,7.8,14.4,18.2,,0.0,0.9,0.9,.091,,-3.4,3.1,-0.3,0.2
23,J.J. Barea,PG,35,DAL,8,111,21.7,.587,.397,.063,1.9,9.1,5.6,33.7,0.9,0.8,9.8,27.5,,0.3,0.1,0.4,.180,,3.9,-3.4,0.5,0.1
24,Harrison Barnes,PF,27,SAC,34,1193,13.5,.549,.333,.378,3.3,13.8,8.4,9.4,1.0,0.4,9.1,19.0,,1.4,0.6,2.0,.082,,-0.4,-1.3,-1.7,0.1
25,RJ Barrett,SG,19,NYK,33,1037,9.8,.451,.266,.310,3.4,14.3,8.7,13.6,1.6,1.2,12.7,23.2,,-1.3,0.6,-0.7,-0.033,,-3.6,-0.7,-4.2,-0.6
26,Will Barton,SF,29,DEN,31,1025,16.1,.540,.343,.180,5.2,17.8,11.4,16.4,1.7,1.2,9.7,19.5,,1.4,1.5,2.9,.134,,0.9,1.3,2.2,1.1
27,Keita Bates-Diop,SF,24,MIN,21,382,13.5,.584,.504,.274,2.9,12.6,7.7,3.9,1.3,1.9,5.1,14.9,,0.6,0.3,0.8,.106,,-1.0,-1.1,-2.1,0.0
28,Nicolas Batum,SF,31,CHO,16,357,9.5,.503,.667,.111,5.2,15.0,9.9,18.6,1.8,2.0,25.1,9.2,,0.2,0.2,0.4,.054,,-2.2,1.1,-1.1,0.1
29,Aron Baynes,C,33,PHO,25,597,16.8,.614,.408,.185,6.8,19.6,13.0,13.9,0.5,2.3,10.1,20.2,,1.2,0.4,1.6,.131,,1.9,-0.5,1.4,0.5
30,Kent Bazemore,SF,30,POR,35,863,8.3,.495,.506,.199,1.2,14.9,8.1,7.5,1.8,2.5,15.5,16.4,,-0.6,0.7,0.1,.007,,-2.9,0.5,-2.4,-0.1
31,Darius Bazley,PF,19,OKC,33,566,6.3,.449,.552,.164,2.2,21.2,12.0,4.1,1.0,3.2,17.3,13.6,,-0.8,0.7,-0.1,-0.006,,-5.7,1.1,-4.6,-0.4
32,Bradley Beal,SG,26,WAS,31,1130,20.9,.554,.373,.352,3.2,11.5,7.1,29.1,1.4,0.8,11.7,32.1,,2.2,-0.1,2.1,.090,,4.2,-3.0,1.1,0.9
33,Malik Beasley,SG,23,DEN,26,417,9.7,.518,.521,.065,1.6,8.7,5.1,8.7,1.4,0.9,11.2,20.3,,-0.1,0.4,0.3,.037,,-2.1,-1.8,-4.0,-0.2
34,Marco Belinelli,SG,33,SAS,30,480,7.9,.477,.521,.182,0.2,10.3,5.3,9.9,0.7,0.0,6.8,17.0,,-0.1,0.1,0.0,.001,,-2.5,-3.3,-5.8,-0.5
35,Jordan Bell,C,25,MIN,20,200,14.6,.585,.125,.521,11.1,22.0,16.4,9.6,0.5,3.7,21.3,15.5,,0.2,0.2,0.4,.086,,-3.3,0.8,-2.5,0.0
36,DeAndre' Bembry,SG,25,ATL,33,739,10.6,.505,.259,.211,4.5,14.9,9.6,13.5,2.6,1.7,18.5,14.0,,-0.2,0.6,0.4,.024,,-3.0,1.1,-2.0,0.0
37,Dragan Bender,SF,22,MIL,3,29,19.5,.889,.500,.125,0.0,6.4,3.4,14.7,0.0,6.0,10.6,13.4,,0.1,0.0,0.2,.275,,3.5,-0.1,3.5,0.0
38,Dāvis Bertāns,PF,27,WAS,28,839,16.5,.640,.766,.149,3.1,15.4,8.9,8.0,1.0,1.9,6.1,17.6,,2.0,0.0,2.0,.116,,4.1,-2.3,1.8,0.8
39,Patrick Beverley,PG,31,LAC,29,839,11.8,.518,.587,.127,4.9,16.4,10.8,15.1,2.2,2.0,14.1,12.8,,0.7,1.4,2.1,.118,,0.4,3.4,3.8,1.2
40,Khem Birch,C,27,ORL,20,436,10.5,.501,.015,.537,9.4,16.9,13.0,7.0,1.2,3.1,13.6,9.5,,0.3,0.5,0.8,.093,,-3.3,2.6,-0.6,0.2
