,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
0,Steven Adams,C,26,OKC,38,1052,22.4,.622,.003,.422,14.5,24.8,19.8,15.1,1.3,3.5,13.5,17.4,,3.0,1.6,4.6,.211,,2.1,3.3,5.5,2.0
1,Bam Adebayo,C,22,MIA,40,1375,20.7,.622,.022,.523,8.9,24.2,17.0,21.0,1.8,3.4,17.8,19.7,,3.1,2.3,5.4,.188,,1.1,3.9,5.0,2.4
2,LaMarcus Aldridge,C,34,SAS,37,1223,20.5,.583,.185,.225,6.4,17.7,12.1,11.4,0.8,4.5,7.7,22.7,,2.6,1.0,3.6,.143,,1.6,0.7,2.3,1.3
3,Nickeil Alexander-Walker,SG,21,NOP,33,453,8.8,.451,.524,.115,1.6,15.3,8.3,20.5,1.0,0.9,12.8,22.9,,-0.5,0.2,-0.3,-0.027,,-3.2,-2.5,-5.7,-0.4
4,Grayson Allen,SG,24,MEM,26,445,11.3,.579,.535,.204,1.2,13.1,7.2,11.3,0.6,0.2,11.4,18.1,,0.4,0.1,0.5,.056,,-0.7,-2.9,-3.6,-0.2
5,Jarrett Allen,C,21,BRK,40,1064,21.1,.670,.011,.588,12.4,24.4,18.6,7.1,1.2,4.0,11.8,15.3,,3.0,1.8,4.8,.219,,0.4,2.8,3.1,1.4
6,Kadeem Allen,SG,27,NYK,9,96,13.6,.483,.381,.190,2.1,6.8,4.3,31.3,2.0,2.0,14.9,23.5,,0.0,0.0,0.0,.013,,-1.4,-3.1,-4.5,-0.1
7,Al-Farouq Aminu,PF,29,ORL,18,380,7.8,.395,.419,.337,6.4,17.9,12.0,7.6,2.3,1.9,14.7,13.2,,-0.4,0.6,0.2,.025,,-4.8,2.5,-2.3,0.0
8,Justin Anderson,SF,26,BRK,3,17,-3.7,.218,.500,.333,0.0,11.7,6.0,0.0,0.0,4.9,0.0,16.9,,-0.1,0.0,-0.1,-0.168,,-12.7,-2.6,-15.3,-0.1
9,Kyle Anderson,PF,26,MEM,35,598,12.6,.500,.219,.272,6.1,17.9,12.0,16.3,1.9,2.2,13.8,13.7,,0.4,0.5,1.0,.078,,-1.9,1.5,-0.4,0.2
