,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Steven Adams,C,26,OKC,38,38,27.7,4.9,8.0,.617,0.0,0.0,.000,4.9,7.9,.619,.617,1.9,3.4,.570,3.6,6.4,10.0,2.7,0.7,1.2,1.5,1.8,11.8
1,Bam Adebayo,C,22,MIA,40,40,34.4,6.1,10.3,.586,0.0,0.2,.111,6.0,10.1,.597,.587,3.7,5.4,.681,2.6,7.8,10.4,4.6,1.3,1.2,2.8,2.6,15.8
2,LaMarcus Aldridge,C,34,SAS,37,37,33.1,7.4,14.6,.506,1.2,2.7,.440,6.2,11.9,.520,.546,2.8,3.3,.836,2.0,5.6,7.6,2.5,0.5,1.8,1.4,2.4,18.8
3,Nickeil Alexander-Walker,SG,21,NOP,33,0,13.7,2.2,6.3,.346,1.2,3.3,.349,1.0,3.0,.343,.438,0.5,0.7,.625,0.2,1.9,2.2,2.0,0.3,0.2,1.0,1.2,6.0
4,Grayson Allen,SG,24,MEM,26,0,17.1,2.7,6.0,.439,1.2,3.2,.381,1.4,2.8,.507,.541,1.1,1.2,.875,0.2,2.1,2.3,1.4,0.2,0.0,0.8,1.3,7.6
5,Jarrett Allen,C,21,BRK,40,36,26.6,4.5,6.9,.657,0.0,0.1,.000,4.5,6.8,.664,.657,2.6,4.0,.634,3.2,6.6,9.7,1.2,0.7,1.3,1.2,2.5,11.6
6,Kadeem Allen,SG,27,NYK,9,0,10.7,1.9,4.7,.405,0.6,1.8,.313,1.3,2.9,.462,.464,0.6,0.9,.625,0.2,0.7,0.9,2.1,0.4,0.2,0.9,0.8,4.9
7,Al-Farouq Aminu,PF,29,ORL,18,2,21.1,1.4,4.8,.291,0.5,2.0,.250,0.9,2.8,.320,.343,1.1,1.6,.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3
8,Justin Anderson,SF,26,BRK,3,0,5.7,0.3,2.0,.167,0.0,1.0,.000,0.3,1.0,.333,.167,0.3,0.7,.500,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.7,1.0
9,Kyle Anderson,PF,26,MEM,35,3,17.1,1.9,4.3,.450,0.2,0.9,.212,1.7,3.4,.517,.474,0.7,1.2,.634,1.0,2.9,3.9,2.2,0.7,0.4,0.8,1.4,4.8
10,Ryan Anderson,PF,31,HOU,2,0,7.0,1.0,3.5,.286,0.5,2.5,.200,0.5,1.0,.500,.357,0.0,0.0,,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5
11,Giannis Antetokounmpo,PF,25,MIL,40,40,30.8,11.0,19.9,.552,1.7,5.1,.324,9.4,14.8,.631,.593,6.4,10.4,.615,2.4,10.5,12.9,5.5,1.2,1.1,3.4,3.1,30.1
12,Kostas Antetokounmpo,PF,22,LAL,3,0,1.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0
13,Thanasis Antetokounmpo,SF,27,MIL,13,0,4.2,0.8,1.5,.550,0.0,0.2,.000,0.8,1.4,.611,.550,0.3,0.6,.500,0.5,0.1,0.5,0.5,0.1,0.1,0.4,0.5,2.0
14,Carmelo Anthony,PF,35,POR,27,27,31.9,6.2,14.0,.441,1.6,3.9,.396,4.6,10.1,.458,.496,2.4,2.9,.833,1.1,5.2,6.3,1.4,1.0,0.6,1.7,3.0,16.3
15,OG Anunoby,SF,22,TOR,39,38,30.2,4.5,9.0,.500,1.4,3.8,.381,3.1,5.2,.586,.580,0.8,1.3,.647,1.0,4.8,5.8,1.7,1.1,0.7,1.2,2.5,11.3
16,Ryan Arcidiacono,PG,25,CHI,38,0,15.1,1.3,3.3,.386,0.8,2.0,.403,0.5,1.3,.360,.508,0.5,0.6,.750,0.4,1.3,1.7,1.5,0.4,0.1,0.6,1.7,3.9
17,Trevor Ariza,SF,34,SAC,32,0,24.7,2.0,5.2,.388,1.3,3.8,.352,0.7,1.3,.488,.518,0.7,0.8,.778,0.7,3.9,4.6,1.6,1.1,0.2,0.9,2.0,6.0
18,D.J. Augustin,PG,32,ORL,39,6,26.0,3.3,8.4,.393,1.2,3.5,.346,2.1,4.9,.426,.465,2.9,3.3,.877,0.4,2.1,2.4,4.7,0.7,0.0,1.4,1.1,10.7
19,Deandre Ayton,C,21,PHO,11,6,30.9,7.8,14.0,.558,0.0,0.1,.000,7.8,13.9,.562,.558,1.2,1.5,.765,3.7,8.3,12.0,1.8,0.5,1.6,1.7,3.0,16.8
20,Dwayne Bacon,SG,24,CHO,34,10,18.3,2.5,6.8,.364,0.6,1.9,.292,1.9,4.9,.392,.405,1.0,1.5,.647,0.4,2.1,2.5,1.3,0.6,0.1,0.9,1.4,6.5
21,Marvin Bagley,PF,20,SAC,11,4,24.1,5.7,12.3,.467,0.3,1.5,.176,5.5,10.7,.508,.478,2.2,2.7,.800,1.9,4.9,6.8,0.6,0.4,0.9,1.5,3.2,13.9
22,Lonzo Ball,PG,22,NOP,34,25,30.5,4.6,11.6,.392,2.2,6.4,.352,2.3,5.3,.441,.489,0.6,1.3,.512,1.2,4.4,5.6,6.1,1.2,0.4,2.7,1.9,12.0
23,Mo Bamba,C,21,ORL,38,0,15.4,2.2,5.0,.439,0.6,1.9,.306,1.6,3.1,.521,.497,0.4,0.6,.625,1.5,3.8,5.3,0.6,0.4,1.3,0.9,1.9,5.3
24,J.J. Barea,PG,35,DAL,12,3,15.6,3.6,7.8,.457,1.6,3.3,.475,2.0,4.5,.444,.559,0.4,0.4,1.000,0.4,1.4,1.8,3.3,0.3,0.1,1.3,0.5,9.2
25,Harrison Barnes,PF,27,SAC,41,41,35.1,5.3,11.7,.452,1.4,3.9,.354,3.9,7.8,.500,.510,3.5,4.4,.794,0.9,4.0,4.9,2.2,0.7,0.1,1.3,1.2,15.4
26,RJ Barrett,SG,19,NYK,41,41,31.2,5.1,13.0,.393,1.1,3.5,.329,4.0,9.5,.417,.437,2.7,4.5,.603,1.1,4.2,5.2,2.5,1.0,0.4,2.2,2.2,14.1
27,Will Barton,SF,29,DEN,38,38,33.4,5.8,12.8,.451,1.7,4.6,.371,4.1,8.2,.495,.517,1.8,2.4,.758,1.6,5.3,6.8,3.7,1.1,0.5,1.4,2.1,15.1
28,Keita Bates-Diop,SF,24,MIN,28,0,18.2,2.5,5.8,.423,1.0,2.7,.368,1.5,3.1,.471,.509,1.4,2.0,.714,0.6,2.5,3.1,0.6,0.5,0.5,0.4,1.0,7.4
29,Nicolas Batum,SF,31,CHO,20,2,22.7,1.3,3.6,.366,0.7,2.3,.289,0.7,1.3,.500,.458,0.3,0.3,1.000,1.0,3.4,4.4,3.0,0.8,0.4,1.1,1.9,3.6
30,Aron Baynes,C,33,PHO,32,25,23.3,4.5,9.1,.497,1.3,3.8,.336,3.3,5.3,.612,.567,1.4,1.9,.721,1.7,4.2,5.9,1.9,0.2,0.6,1.2,3.6,11.7
