,ECR,Player,Tipoff  (ET),Opponent,Today,Yesterday,Difference
0,283,Terrance Ferguson (OKC - SG/SF) ,8:00PM,MIA,"$3,200",-,-
1,-,Anzejs Pasecniks (WAS - C) ,7:00PM,@TOR,"$3,900",-,-
2,-,Gary Trent Jr. (POR - SG) ,9:30PM,@DAL,"$3,000",-,-
3,81,Wendell Carter Jr. (CHI - C) ,7:00PM,@PHI,"$5,700",-,-
4,295,Lonnie Walker IV (SAS - SG/SF) ,8:30PM,ATL,"$3,200",-,-
5,8,Trae Young (ATL - PG) ,8:30PM,@SAS,"$10,200",-,-
6,-,KZ Okpala (MIA - SF/PF) ,8:00PM,@OKC,"$3,000",-,-
7,104,Collin Sexton (CLE - PG/SG) ,8:00PM,@MEM,"$6,000",-,-
8,274,Daniel Gafford (CHI - C) ,7:00PM,@PHI,"$4,800",-,-
9,53,Ja Morant (MEM - PG) ,8:00PM,CLE,"$8,000",-,-
10,55,Shai Gilgeous-Alexander (OKC - PG/SG) ,8:00PM,MIA,"$7,400",-,-
11,119,Maxi Kleber (DAL - PF/C) ,9:30PM,POR,"$5,000",-,-
12,-,Brian Bowen II (IND - SG/SF) ,7:00PM,MIN,"$3,000",-,-
13,-,Oshae Brissett (TOR - PF) ,7:00PM,WAS,"$3,000",-,-
14,255,Bruno Fernando (ATL - C) ,8:30PM,@SAS,"$3,000",-,-
15,60,Jaren Jackson Jr. (MEM - PF/C) ,8:00PM,CLE,"$6,800",-,-
16,297,Zhaire Smith (PHI - SG/SF) ,7:00PM,CHI,"$3,000",-,-
17,182,Jarrett Culver (MIN - PG/SG) ,7:00PM,@IND,"$5,900",-,-
18,149,Troy Brown Jr. (WAS - SF/PF) ,7:00PM,@TOR,"$5,100",-,-
19,-,Jaylen Nowell (MIN - PG) ,7:00PM,@IND,"$3,000",-,-
20,3,Luka Doncic (DAL - PG) ,9:30PM,POR,"$12,400",-,-
21,221,Anfernee Simons (POR - PG/SG) ,9:30PM,@DAL,"$3,300",-,-
22,-,Isaac Bonga (WAS - SF/PF) ,7:00PM,@TOR,"$3,500",-,-
23,226,Cam Reddish (ATL - SG/SF) ,8:30PM,@SAS,"$4,800",-,-
24,-,Jaylen Hoard (POR - SF/PF) ,9:30PM,@DAL,"$3,000",-,-
25,-,Keldon Johnson (SAS - SG/SF) ,8:30PM,ATL,"$3,000",-,-
26,147,Tyler Herro (MIA - SG) ,8:00PM,@OKC,"$4,700",-,-
27,188,Darius Garland (CLE - PG) ,8:00PM,@MEM,"$5,100",-,-
28,-,Luguentz Dort (OKC - SG) ,8:00PM,MIA,"$3,000",-,-
29,-,Moses Brown (POR - C) ,9:30PM,@DAL,"$3,000",-,-
30,-,Kevin Porter Jr. (CLE - SF) ,8:00PM,@MEM,"$4,000",-,-
31,-,Naz Reid (MIN - C) ,7:00PM,@IND,"$3,500",-,-
32,180,Coby White (CHI - PG/SG) ,7:00PM,@PHI,"$4,400",-,-
33,280,Nassir Little (POR - SF/PF) ,9:30PM,@DAL,"$3,000",-,-
34,228,Goga Bitadze (IND - C) ,7:00PM,MIN,"$3,000",-,-
35,-,Luka Samanic (SAS - SF) ,8:30PM,ATL,"$3,000",-,-
36,-,Darius Bazley (OKC - PF) ,8:00PM,MIA,"$3,200",-,-
37,-,Adam Mokoka (CHI - SG) ,7:00PM,@PHI,"$3,000",-,-
38,-,Marko Guduric (MEM - SG/SF) ,8:00PM,CLE,"$3,000",-,-
39,197,Carmelo Anthony (POR - SF/PF) ,9:30PM,@DAL,"$6,200",-,-
40,-,Andre Iguodala (MEM - SG/SF) ,8:00PM,CLE,"$3,000",-,-
41,-,J.J. Barea (DAL - PG/SG) ,9:30PM,POR,"$3,900",-,-
42,-,Udonis Haslem (MIA - C) ,8:00PM,@OKC,"$3,000",-,-
43,41,Chris Paul (OKC - PG) ,8:00PM,MIA,"$6,900",-,-
44,267,Anthony Tolliver (POR - PF/C) ,9:30PM,@DAL,"$3,500",-,-
45,288,DeMarre Carroll (SAS - PF) ,8:30PM,ATL,"$3,000",-,-
46,148,Rudy Gay (SAS - SF/PF) ,8:30PM,ATL,"$4,500",-,-
47,46,Kyle Lowry (TOR - PG) ,7:00PM,WAS,"$8,800",-,-
48,25,LaMarcus Aldridge (SAS - PF/C) ,8:30PM,ATL,"$7,100",-,-
49,-,Courtney Lee (DAL - SF) ,9:30PM,POR,"$3,000",-,-
50,47,Al Horford (PHI - PF/C) ,7:00PM,CHI,"$7,500",-,-
51,-,Ian Mahinmi (WAS - C) ,7:00PM,@TOR,"$5,000",-,-
52,-,Vince Carter (ATL - SF/PF) ,8:30PM,@SAS,"$3,000",-,-
53,140,Thaddeus Young (CHI - PF) ,7:00PM,@PHI,"$5,000",-,-
