,Dates,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Box_Score,OT?,Attend.,Notes
0,"Tue, Oct 22, 2019",8:00p,New Orleans Pelicans,122,Toronto Raptors,130,Box Score,OT,"20,787",
1,"Tue, Oct 22, 2019",10:30p,Los Angeles Lakers,102,Los Angeles Clippers,112,Box Score,,"19,068",
2,"Wed, Oct 23, 2019",7:00p,Chicago Bulls,125,Charlotte Hornets,126,Box Score,,"15,424",
3,"Wed, Oct 23, 2019",7:00p,Detroit Pistons,119,Indiana Pacers,110,Box Score,,"17,923",
4,"Wed, Oct 23, 2019",7:00p,Cleveland Cavaliers,85,Orlando Magic,94,Box Score,,"18,846",
5,"Wed, Oct 23, 2019",7:30p,Minnesota Timberwolves,127,Brooklyn Nets,126,Box Score,OT,"17,732",
6,"Wed, Oct 23, 2019",7:30p,Memphis Grizzlies,101,Miami Heat,120,Box Score,,"19,600",
7,"Wed, Oct 23, 2019",7:30p,Boston Celtics,93,Philadelphia 76ers,107,Box Score,,"20,422",
8,"Wed, Oct 23, 2019",8:30p,Washington Wizards,100,Dallas Mavericks,108,Box Score,,"19,816",
9,"Wed, Oct 23, 2019",8:30p,New York Knicks,111,San Antonio Spurs,120,Box Score,,"18,354",
10,"Wed, Oct 23, 2019",9:00p,Oklahoma City Thunder,95,Utah Jazz,100,Box Score,,"18,306",
11,"Wed, Oct 23, 2019",10:00p,Sacramento Kings,95,Phoenix Suns,124,Box Score,,"18,055",
12,"Wed, Oct 23, 2019",10:00p,Denver Nuggets,108,Portland Trail Blazers,100,Box Score,,"19,991",
13,"Thu, Oct 24, 2019",7:00p,Atlanta Hawks,117,Detroit Pistons,100,Box Score,,"20,338",
14,"Thu, Oct 24, 2019",8:00p,Milwaukee Bucks,117,Houston Rockets,111,Box Score,,"18,055",
15,"Thu, Oct 24, 2019",10:30p,Los Angeles Clippers,141,Golden State Warriors,122,Box Score,,"18,064",
16,"Fri, Oct 25, 2019",7:00p,Toronto Raptors,106,Boston Celtics,112,Box Score,,"18,624",
17,"Fri, Oct 25, 2019",7:00p,Minnesota Timberwolves,121,Charlotte Hornets,99,Box Score,,"14,879",
18,"Fri, Oct 25, 2019",7:30p,New York Knicks,109,Brooklyn Nets,113,Box Score,,"17,732",
19,"Fri, Oct 25, 2019",8:00p,Chicago Bulls,110,Memphis Grizzlies,102,Box Score,,"17,794",
